0,0
0.1,0.316227766
0.2,0.447213595
0.3,0.547722558
0.4,0.632455532
0.5,0.707106781
0.6,0.774596669
0.7,0.836660027
0.8,0.894427191
0.9,0.948683298
1,1
1.1,1.048808848
1.2,1.095445115
1.3,1.140175425
1.4,1.183215957
1.5,1.224744871
1.6,1.264911064
1.7,1.303840481
1.8,1.341640786
1.9,1.378404875
2,1.414213562
2.1,1.449137675
2.2,1.483239697
2.3,1.516575089
2.4,1.549193338
2.5,1.58113883
2.6,1.61245155
2.7,1.643167673
2.8,1.673320053
2.9,1.702938637
3,1.732050808
3.1,1.760681686
3.2,1.788854382
3.3,1.816590212
3.4,1.843908891
3.5,1.870828693
3.6,1.897366596
3.7,1.923538406
3.8,1.949358869
3.9,1.974841766
4,2
4.1,2.024845673
4.2,2.049390153
4.3,2.073644135
4.4,2.097617696
4.5,2.121320344
4.6,2.144761059
4.7,2.167948339
4.8,2.19089023
4.9,2.213594362
5,2.236067977
